system,index,denominator,integer_form,verdict,provenance
"(5,10)",113,18,"[17,17,16,8,8,8,4,4,4,4]",INTERFERENCE,direct
"(5,10)",114,18,"[17,17,11,11,11,11,3,3,3,3]",INTERFERENCE,direct
"(5,10)",115,35,"[33,33,32,13,13,13,13,13,6,6]",DESIGN-INT,direct
"(5,10)",116,17,"[16,16,16,9,7,7,5,5,2,2]",DESIGN-INT,direct
"(5,10)",117,17,"[16,16,16,7,6,6,6,6,3,3]",DESIGN-INT,direct
"(5,10)",118,17,"[16,16,14,9,5,5,5,5,5,5]",DESIGN-INT,direct
"(5,10)",119,17,"[16,16,13,13,7,7,7,4,1,1]",DESIGN-INT,direct
"(5,10)",120,17,"[16,16,13,13,7,7,7,2,2,2]",DESIGN-INT,direct
"(5,10)",121,17,"[16,16,13,10,10,10,4,4,1,1]",DESIGN-INT,direct
"(5,10)",122,16,"[15,15,15,9,7,7,4,4,2,2]",DESIGN-INT,direct
"(5,10)",123,16,"[15,15,15,7,7,7,4,4,3,3]",DESIGN-INT,direct
"(5,10)",124,48,"[45,45,45,18,18,17,17,17,9,9]",DESIGN-INT,direct
"(5,10)",125,16,"[15,15,14,9,5,5,5,4,4,4]",DESIGN-INT,direct
"(5,10)",126,16,"[15,15,10,10,10,10,3,3,2,2]",DESIGN-INT,direct
"(5,10)",127,47,"[44,44,44,18,18,17,17,17,8,8]",DESIGN-INT,direct
"(5,10)",128,15,"[14,14,14,9,6,6,4,4,2,2]",DESIGN-INT,direct
"(5,10)",129,60,"[56,56,56,22,22,22,22,22,11,11]",DESIGN-INT,direct
"(5,10)",130,75,"[70,70,70,27,27,27,27,27,15,15]",DESIGN-INT,direct
"(5,10)",131,15,"[14,14,10,10,9,9,3,2,2,2]",DESIGN-INT,direct
"(5,10)",132,72,"[67,67,67,27,27,27,27,27,12,12]",DESIGN-INT,direct
"(5,10)",133,14,"[13,13,13,7,7,7,4,4,1,1]",DESIGN-INT,direct
"(5,10)",134,14,"[13,13,13,7,6,6,3,3,3,3]",DESIGN-INT,direct
"(5,10)",135,14,"[13,13,11,11,7,7,4,2,2,0]",DESIGN-INT,direct
"(5,10)",136,14,"[13,13,11,9,4,4,4,4,4,4]",DESIGN-INT,direct
"(5,10)",137,14,"[13,13,10,10,7,7,7,1,1,1]",DESIGN-INT,direct
"(5,10)",138,14,"[13,13,10,10,4,4,4,4,4,4]",DESIGN-INT,direct
"(5,10)",139,13,"[12,12,12,7,4,4,4,4,3,3]",DESIGN-INT,direct
"(5,10)",140,39,"[36,36,36,17,17,17,9,9,9,9]",INTERFERENCE,direct
"(5,10)",141,13,"[12,12,10,10,7,7,3,2,2,0]",DESIGN-INT,direct
"(5,10)",142,13,"[12,12,9,8,8,8,2,2,2,2]",DESIGN-INT,direct
"(5,10)",143,25,"[23,22,16,16,16,16,4,4,4,4]",DESIGN-INT,direct
"(5,10)",144,37,"[34,34,34,17,17,17,8,8,8,8]",INTERFERENCE,direct
"(5,10)",145,12,"[11,11,11,7,4,4,3,3,3,3]",DESIGN-INT,direct
"(5,10)",146,24,"[22,22,21,13,7,7,7,7,7,7]",DESIGN-INT,direct
"(5,10)",147,12,"[11,11,10,7,7,7,3,3,1,0]",DESIGN-INT,direct
"(5,10)",148,23,"[21,21,20,13,13,13,6,6,1,1]",DESIGN-INT,direct
"(5,10)",149,11,"[10,10,10,7,4,4,4,4,1,1]",DESIGN-INT,direct
"(5,10)",150,11,"[10,10,10,6,6,6,3,3,1,0]",DESIGN-INT,direct
"(5,10)",151,33,"[30,30,30,18,10,10,10,9,9,9]",DESIGN-INT,direct
"(5,10)",152,11,"[10,10,9,9,5,5,3,2,2,0]",DESIGN-INT,direct
"(5,10)",153,11,"[10,10,9,8,6,6,2,2,2,0]",DESIGN-INT,direct
"(5,10)",154,11,"[10,10,8,8,6,6,5,1,1,0]",DESIGN-INT,direct
"(5,10)",155,11,"[10,10,7,7,7,7,4,1,1,1]",DESIGN-INT,direct
"(5,10)",156,33,"[30,30,21,21,21,21,6,5,5,5]",DESIGN-INT,direct
"(5,10)",157,32,"[29,29,25,25,17,17,6,6,6,0]",DESIGN-INT,direct
"(5,10)",158,32,"[29,29,21,21,20,20,5,5,5,5]",DESIGN-INT,direct
"(5,10)",159,21,"[19,19,18,13,6,6,6,6,6,6]",DESIGN-INT,direct
"(5,10)",160,21,"[19,19,17,17,9,9,5,5,5,0]",DESIGN-INT,direct
"(5,10)",161,51,"[46,46,46,27,15,15,15,15,15,15]",DESIGN-INT,direct
"(5,10)",162,10,"[9,9,9,7,5,5,2,2,2,0]",DESIGN-INT,direct
"(5,10)",163,20,"[18,18,18,12,11,11,5,5,1,1]",DESIGN-INT,direct
"(5,10)",164,30,"[27,27,27,18,9,9,9,8,8,8]",DESIGN-INT,direct
"(5,10)",165,10,"[9,9,8,8,4,4,4,3,1,0]",DESIGN-INT,direct
"(5,10)",166,10,"[9,9,8,6,6,6,3,3,0,0]",INTERFERENCE,direct
"(5,10)",167,10,"[9,9,7,7,6,6,4,1,1,0]",DESIGN-INT,direct
"(5,10)",168,38,"[34,34,34,22,11,11,11,11,11,11]",DESIGN-INT,direct
"(5,10)",169,19,"[17,17,15,15,7,7,7,7,3,0]",DESIGN-INT,direct
"(5,10)",170,28,"[25,25,23,23,13,13,6,6,6,0]",DESIGN-INT,direct
"(5,10)",171,56,"[50,50,36,36,36,36,9,9,9,9]",INTERFERENCE,direct
"(5,10)",172,9,"[8,8,8,7,4,4,2,2,2,0]",DESIGN-INT,direct
"(5,10)",173,9,"[8,8,8,6,5,5,2,2,1,0]",DESIGN-INT,direct
"(5,10)",174,9,"[8,8,8,5,5,5,3,3,0,0]",INTERFERENCE,direct
"(5,10)",175,9,"[8,8,8,3,3,3,3,3,3,3]",DESIGN-INT,direct
"(5,10)",176,9,"[8,8,7,7,5,5,3,1,1,0]",DESIGN-INT,direct
"(5,10)",177,27,"[24,24,21,21,15,15,5,5,5,0]",DESIGN-INT,direct
"(5,10)",178,9,"[8,8,7,7,4,4,4,3,0,0]",INTERFERENCE,direct
"(5,10)",179,17,"[15,15,15,10,10,10,4,4,1,1]",DESIGN-INT,direct
"(5,10)",180,17,"[15,15,12,12,10,10,8,1,1,1]",DESIGN-INT,direct
"(5,10)",181,42,"[37,37,37,27,12,12,12,12,12,12]",DESIGN-INT,direct
"(5,10)",182,8,"[7,7,7,7,4,4,1,1,1,1]",DESIGN-INT,direct
"(5,10)",183,8,"[7,7,7,6,3,3,3,3,1,0]",DESIGN-INT,direct
"(5,10)",184,16,"[14,14,13,13,6,6,6,6,1,1]",DESIGN-INT,direct
"(5,10)",185,16,"[14,14,12,12,9,9,7,1,1,1]",DESIGN-INT,direct
"(5,10)",186,16,"[14,14,12,12,7,7,7,7,0,0]",INTERFERENCE,direct
"(5,10)",187,23,"[20,20,16,16,13,13,13,2,2,0]",DESIGN-INT,direct
"(5,10)",188,15,"[13,13,13,12,6,6,5,5,1,1]",DESIGN-INT,direct
"(5,10)",189,15,"[13,13,13,9,9,9,4,4,1,0]",INTERFERENCE,direct
"(5,10)",190,15,"[13,13,13,9,9,9,3,3,3,0]",DESIGN-INT,direct
"(5,10)",191,15,"[13,13,12,12,6,6,6,6,1,0]",INTERFERENCE,direct
"(5,10)",192,15,"[13,13,11,11,9,9,6,1,1,1]",DESIGN-INT,direct
"(5,10)",193,22,"[19,19,16,16,12,12,12,2,2,0]",DESIGN-INT,direct
"(5,10)",194,7,"[6,6,6,6,3,3,2,2,1,0]",DESIGN-INT,direct
"(5,10)",195,7,"[6,6,6,5,4,4,2,2,0,0]",DESIGN-INT,direct
"(5,10)",196,21,"[18,18,18,15,12,12,4,4,4,0]",DESIGN-INT,direct
"(5,10)",197,7,"[6,6,6,5,3,3,3,3,0,0]",INTERFERENCE,direct
"(5,10)",198,7,"[6,6,5,5,4,4,4,1,0,0]",DESIGN-INT,direct
"(5,10)",199,14,"[12,12,9,9,9,8,8,3,0,0]",DESIGN-INT,direct
"(5,10)",200,20,"[17,17,17,17,9,9,6,4,4,0]",DESIGN-INT,direct
"(5,10)",201,20,"[17,17,13,13,13,13,10,2,2,0]",DESIGN-INT,direct
"(5,10)",202,33,"[28,28,28,27,12,12,12,12,3,3]",DESIGN-INT,direct
"(5,10)",203,13,"[11,11,11,11,6,6,3,3,3,0]",DESIGN-REAL,direct
"(5,10)",204,13,"[11,11,11,11,5,5,5,4,1,1]",DESIGN-INT,direct
"(5,10)",205,13,"[11,11,11,11,5,5,5,3,3,0]",DESIGN-INT,direct
"(5,10)",206,13,"[11,11,11,11,5,5,5,2,2,2]",DESIGN-INT,direct
"(5,10)",207,13,"[11,11,11,8,8,8,2,2,2,2]",DESIGN-INT,direct
"(5,10)",208,13,"[11,11,9,9,8,8,7,1,1,0]",DESIGN-INT,direct
"(5,10)",209,13,"[11,10,10,10,8,8,4,4,0,0]",DESIGN-INT,direct
"(5,10)",210,32,"[27,27,27,27,12,12,11,11,3,3]",DESIGN-INT,direct
"(5,10)",211,25,"[21,21,21,21,9,9,9,9,3,2]",DESIGN-INT,direct
"(5,10)",212,56,"[47,47,47,47,20,20,20,20,6,6]",INTERFERENCE,direct
"(5,10)",213,6,"[5,5,5,5,3,3,2,2,0,0]",DESIGN-INT,direct
"(5,10)",214,12,"[10,10,10,10,5,5,5,4,1,0]",INTERFERENCE,direct
"(5,10)",215,18,"[15,15,15,15,7,7,7,7,1,1]",INTERFERENCE,direct
"(5,10)",216,6,"[5,5,5,5,2,2,2,2,2,0]",DESIGN-INT,direct
"(5,10)",217,6,"[5,5,5,3,3,3,3,3,0,0]",DESIGN-REAL,direct
"(5,10)",218,18,"[15,15,14,14,8,8,8,8,0,0]",INTERFERENCE,direct
"(5,10)",219,12,"[10,10,9,9,7,7,6,1,1,0]",DESIGN-INT,direct
"(5,10)",220,18,"[15,15,13,13,11,11,9,1,1,1]",DESIGN-INT,direct
"(5,10)",221,24,"[20,20,17,17,14,14,14,2,2,0]",DESIGN-INT,direct
"(5,10)",222,6,"[5,5,4,4,4,4,3,1,0,0]",DESIGN-INT,direct
"(5,10)",223,18,"[15,15,12,12,12,12,8,2,2,0]",DESIGN-INT,direct
"(5,10)",224,6,"[5,5,4,4,4,4,2,2,0,0]",DESIGN-INT,direct
"(5,10)",225,18,"[15,15,12,12,11,11,11,1,1,1]",DESIGN-INT,direct
"(5,10)",226,24,"[20,20,15,15,15,15,15,3,1,1]",DESIGN-INT,direct
"(5,10)",227,72,"[60,60,45,45,45,45,45,5,5,5]",DESIGN-INT,direct
"(5,10)",228,47,"[39,39,30,30,30,29,29,3,3,3]",DESIGN-INT,direct
"(5,10)",229,35,"[29,29,22,22,22,22,22,3,2,2]",DESIGN-INT,direct
"(5,10)",230,23,"[19,19,19,19,9,9,9,9,3,0]",INTERFERENCE,direct
"(5,10)",231,23,"[19,19,15,15,15,14,14,2,1,1]",DESIGN-INT,direct
"(5,10)",232,17,"[14,14,11,11,11,11,10,1,1,1]",DESIGN-INT,direct
"(5,10)",233,28,"[23,23,23,23,8,8,8,8,8,8]",DESIGN-INT,direct
"(5,10)",234,11,"[9,9,8,8,7,7,5,1,1,0]",DESIGN-INT,direct
"(5,10)",235,11,"[9,9,7,7,7,7,7,1,1,0]",DESIGN-INT,direct
"(5,10)",236,60,"[49,49,38,38,38,38,38,4,4,4]",DESIGN-INT,direct
"(5,10)",237,16,"[13,13,13,13,9,9,6,2,2,0]",DESIGN-INT,direct
"(5,10)",238,16,"[13,13,12,12,10,10,5,5,0,0]",DESIGN-INT,direct
"(5,10)",239,16,"[13,13,12,12,9,9,9,1,1,1]",DESIGN-INT,direct
"(5,10)",240,48,"[39,39,31,31,31,30,30,3,3,3]",DESIGN-INT,direct
"(5,10)",241,16,"[13,13,10,10,10,10,10,4,0,0]",DESIGN-INT,direct
"(5,10)",242,21,"[17,17,17,17,9,9,9,9,1,0]",INTERFERENCE,direct
"(5,10)",243,21,"[17,17,14,14,14,14,11,2,2,0]",DESIGN-INT,direct
"(5,10)",244,36,"[29,29,23,23,23,23,23,3,2,2]",DESIGN-INT,direct
"(5,10)",245,5,"[4,4,4,4,3,3,2,1,0,0]",DESIGN-INT,direct
"(5,10)",246,15,"[12,12,12,12,9,9,5,2,2,0]",DESIGN-INT,direct
"(5,10)",247,15,"[12,12,12,12,9,9,4,4,1,0]",DESIGN-INT,direct
"(5,10)",248,5,"[4,4,4,4,3,3,1,1,1,0]",DESIGN-INT,direct
"(5,10)",249,10,"[8,8,8,8,5,5,5,3,0,0]",INTERFERENCE,direct
"(5,10)",250,15,"[12,12,12,12,7,7,7,6,0,0]",INTERFERENCE,direct
"(5,10)",251,15,"[12,12,10,10,10,9,9,3,0,0]",DESIGN-INT,direct
"(5,10)",252,25,"[20,20,16,16,16,16,16,3,1,1]",DESIGN-INT,direct
"(5,10)",253,75,"[60,60,48,48,48,48,48,5,5,5]",DESIGN-INT,direct
"(5,10)",254,14,"[11,11,11,11,8,8,7,1,1,1]",DESIGN-INT,direct
"(5,10)",255,28,"[22,22,22,22,13,13,13,13,0,0]",INTERFERENCE,direct
"(5,10)",256,37,"[29,29,29,29,20,20,20,3,3,3]",INTERFERENCE,direct
"(5,10)",257,32,"[25,25,25,25,20,20,9,9,1,1]",DESIGN-INT,direct
"(5,10)",258,18,"[14,14,14,14,11,11,8,2,2,0]",DESIGN-INT,direct
"(5,10)",259,18,"[14,14,14,14,11,11,6,6,0,0]",INTERFERENCE,direct
"(5,10)",260,9,"[7,7,7,7,5,5,5,1,1,0]",DESIGN-INT,direct
"(5,10)",261,18,"[14,14,14,14,10,10,10,2,1,1]",INTERFERENCE,direct
"(5,10)",262,9,"[7,7,7,6,6,6,3,3,0,0]",DESIGN-INT,direct
"(5,10)",263,39,"[30,30,30,30,22,22,22,3,3,3]",INTERFERENCE,direct
"(5,10)",264,13,"[10,10,9,9,9,9,6,1,1,1]",DESIGN-INT,direct
"(5,10)",265,17,"[13,13,13,13,11,11,5,5,1,0]",DESIGN-INT,direct
"(5,10)",266,12,"[9,9,9,9,8,8,5,1,1,1]",DESIGN-INT,direct
"(5,10)",267,24,"[18,18,18,18,16,16,7,7,1,1]",DESIGN-INT,direct
"(5,10)",268,12,"[9,9,9,9,7,7,7,3,0,0]",INTERFERENCE,direct
"(5,10)",269,16,"[12,12,12,11,11,11,7,2,1,1]",DESIGN-INT,direct
"(5,10)",270,12,"[9,9,9,8,8,8,6,3,0,0]",DESIGN-INT,direct
"(5,10)",271,30,"[22,22,22,21,21,21,12,3,3,3]",DESIGN-INT,direct
"(5,10)",272,33,"[24,24,24,23,23,23,15,3,3,3]",DESIGN-INT,direct
"(5,10)",273,7,"[5,5,5,5,5,5,3,1,1,0]",DESIGN-INT,direct
"(5,10)",274,21,"[15,15,15,15,15,15,8,3,2,2]",DESIGN-INT,direct
"(5,10)",275,14,"[10,10,10,10,10,10,5,3,1,1]",DESIGN-INT,direct
"(5,10)",276,42,"[30,30,30,30,30,30,15,5,5,5]",DESIGN-INT,direct
"(5,10)",277,7,"[5,5,5,5,5,5,2,2,1,0]",DESIGN-INT,direct
"(5,10)",278,14,"[10,10,10,10,10,10,4,4,1,1]",DESIGN-INT,direct
"(5,10)",279,21,"[15,15,15,15,15,15,5,5,5,0]",DESIGN-INT,direct
"(5,10)",280,28,"[20,20,20,20,20,20,5,5,5,5]",DESIGN-INT,direct
"(5,10)",281,38,"[27,27,27,27,27,27,16,4,4,4]",DESIGN-INT,direct
"(5,10)",282,24,"[17,17,17,17,17,17,11,3,2,2]",DESIGN-INT,direct
"(5,10)",283,17,"[12,12,12,12,12,12,8,3,1,1]",DESIGN-INT,direct
"(5,10)",284,51,"[36,36,36,36,36,36,24,5,5,5]",DESIGN-INT,direct
"(5,10)",285,10,"[7,7,7,7,7,7,4,4,0,0]",DESIGN-INT,direct
"(5,10)",286,3,"[2,2,2,2,2,2,2,1,0,0]",DESIGN-INT,direct
"(5,10)",287,6,"[4,4,4,4,4,4,4,1,1,0]",DESIGN-INT,direct
"(5,10)",288,9,"[6,6,6,6,6,6,6,1,1,1]",DESIGN-INT,direct
"(5,10)",289,8,"[5,5,5,5,5,5,5,5,0,0]",DESIGN-INT,direct
"(5,10)",290,9,"[5,5,5,5,5,5,5,5,5,0]",DESIGN-INT,direct
"(5,10)",291,2,"[1,1,1,1,1,1,1,1,1,1]",DESIGN-INT,direct
